    energy      energy-dH0       rate(s-1)     lifetime(s)
   12660.0     1993.6      5.306981e3     1.884311e-4
   12670.0     2003.6      5.409068e3     1.848747e-4
   12680.0     2013.6      5.512813e3     1.813956e-4
   12690.0     2023.6      5.618078e3     1.779968e-4
   12700.0     2033.6      5.724965e3     1.746736e-4
   12710.0     2043.6      5.833488e3     1.714240e-4
   12720.0     2053.6      5.943779e3     1.682431e-4
   12730.0     2063.6      6.055845e3     1.651297e-4
   12740.0     2073.6      6.169677e3     1.620830e-4
   12750.0     2083.6      6.285145e3     1.591053e-4
   12760.0     2093.6      6.402347e3     1.561927e-4
   12770.0     2103.6      6.521316e3     1.533433e-4
   12780.0     2113.6      6.642236e3     1.505517e-4
   12790.0     2123.6      6.765125e3     1.478169e-4
   12800.0     2133.6      6.889992e3     1.451380e-4
   12810.0     2143.6      7.016673e3     1.425177e-4
   12820.0     2153.6      7.145282e3     1.399525e-4
   12830.0     2163.6      7.275825e3     1.374415e-4
   12840.0     2173.6      7.408495e3     1.349802e-4
   12850.0     2183.6      7.543309e3     1.325678e-4
   12860.0     2193.6      7.680231e3     1.302044e-4
   12870.0     2203.6      7.819089e3     1.278921e-4
   12880.0     2213.6      7.959935e3     1.256292e-4
   12890.0     2223.6      8.102793e3     1.234142e-4
   12900.0     2233.6      8.247846e3     1.212438e-4
   12910.0     2243.6      8.395131e3     1.191167e-4
   12920.0     2253.6      8.544627e3     1.170326e-4
   12930.0     2263.6      8.696207e3     1.149927e-4
   12940.0     2273.6      8.849943e3     1.129951e-4
   12950.0     2283.6      9.005847e3     1.110390e-4
   12960.0     2293.6      9.164104e3     1.091214e-4
   12970.0     2303.6      9.324731e3     1.072417e-4
   12980.0     2313.6      9.487753e3     1.053990e-4
   12990.0     2323.6      9.653023e3     1.035945e-4
   13000.0     2333.6      9.820636e3     1.018264e-4
   13010.0     2343.6      9.990584e3     1.000942e-4
   13020.0     2353.6      1.016304e4     9.839572e-5
   13030.0     2363.6      1.033804e4     9.673016e-5
   13040.0     2373.6      1.051557e4     9.509707e-5
   13050.0     2383.6      1.069552e4     9.349706e-5
   13060.0     2393.6      1.087796e4     9.192902e-5
   13070.0     2403.6      1.106287e4     9.039245e-5
   13080.0     2413.6      1.125040e4     8.888569e-5
   13090.0     2423.6      1.144060e4     8.740800e-5
   13100.0     2433.6      1.163349e4     8.595876e-5
   13110.0     2443.6      1.182898e4     8.453817e-5
   13120.0     2453.6      1.202715e4     8.314525e-5
   13130.0     2463.6      1.222798e4     8.177964e-5
   13140.0     2473.6      1.243167e4     8.043974e-5
   13150.0     2483.6      1.263822e4     7.912505e-5
   13160.0     2493.6      1.284770e4     7.783493e-5
   13170.0     2503.6      1.306001e4     7.656965e-5
   13180.0     2513.6      1.327523e4     7.532828e-5
   13190.0     2523.6      1.349333e4     7.411068e-5
   13200.0     2533.6      1.371451e4     7.291549e-5
   13210.0     2543.6      1.393875e4     7.174243e-5
   13220.0     2553.6      1.416608e4     7.059114e-5
   13230.0     2563.6      1.439641e4     6.946177e-5
   13240.0     2573.6      1.462978e4     6.835374e-5
   13250.0     2583.6      1.486618e4     6.726676e-5
   13260.0     2593.6      1.510582e4     6.619965e-5
   13270.0     2603.6      1.534871e4     6.515207e-5
   13280.0     2613.6      1.559486e4     6.412369e-5
   13290.0     2623.6      1.584420e4     6.311456e-5
   13300.0     2633.6      1.609682e4     6.212408e-5
   13310.0     2643.6      1.635269e4     6.115201e-5
   13320.0     2653.6      1.661203e4     6.019734e-5
   13330.0     2663.6      1.687482e4     5.925988e-5
   13340.0     2673.6      1.714112e4     5.833926e-5
   13350.0     2683.6      1.741081e4     5.743557e-5
   13360.0     2693.6      1.768401e4     5.654824e-5
   13370.0     2703.6      1.796072e4     5.567705e-5
   13380.0     2713.6      1.824111e4     5.482122e-5
   13390.0     2723.6      1.852518e4     5.398059e-5
   13400.0     2733.6      1.881292e4     5.315496e-5
   13410.0     2743.6      1.910425e4     5.234437e-5
   13420.0     2753.6      1.939927e4     5.154834e-5
   13430.0     2763.6      1.969799e4     5.076659e-5
   13440.0     2773.6      2.000059e4     4.999853e-5
   13450.0     2783.6      2.030706e4     4.924396e-5
   13460.0     2793.6      2.061743e4     4.850265e-5
   13470.0     2803.6      2.093163e4     4.777460e-5
   13480.0     2813.6      2.124976e4     4.705936e-5
   13490.0     2823.6      2.157184e4     4.635674e-5
   13500.0     2833.6      2.189806e4     4.566614e-5
   13510.0     2843.6      2.222843e4     4.498744e-5
   13520.0     2853.6      2.256299e4     4.432037e-5
   13530.0     2863.6      2.290164e4     4.366500e-5
   13540.0     2873.6      2.324448e4     4.302096e-5
   13550.0     2883.6      2.359153e4     4.238810e-5
   13560.0     2893.6      2.394295e4     4.176594e-5
   13570.0     2903.6      2.429876e4     4.115436e-5
   13580.0     2913.6      2.465897e4     4.055319e-5
   13590.0     2923.6      2.502350e4     3.996243e-5
   13600.0     2933.6      2.539243e4     3.938182e-5
   13610.0     2943.6      2.576576e4     3.881120e-5
   13620.0     2953.6      2.614370e4     3.825013e-5
   13630.0     2963.6      2.652630e4     3.769844e-5
   13640.0     2973.6      2.691357e4     3.715597e-5
   13650.0     2983.6      2.730544e4     3.662274e-5
   13660.0     2993.6      2.770199e4     3.609849e-5
   13670.0     3003.6      2.810320e4     3.558313e-5
   13680.0     3013.6      2.850932e4     3.507625e-5
   13690.0     3023.6      2.892036e4     3.457771e-5
   13700.0     3033.6      2.933641e4     3.408733e-5
   13710.0     3043.6      2.975734e4     3.360515e-5
   13720.0     3053.6      3.018324e4     3.313097e-5
   13730.0     3063.6      3.061409e4     3.266469e-5
   13740.0     3073.6      3.105011e4     3.220600e-5
   13750.0     3083.6      3.149135e4     3.175475e-5
   13760.0     3093.6      3.193784e4     3.131082e-5
   13770.0     3103.6      3.238949e4     3.087421e-5
   13780.0     3113.6      3.284637e4     3.044476e-5
   13790.0     3123.6      3.330849e4     3.002237e-5
   13800.0     3133.6      3.377605e4     2.960677e-5
   13810.0     3143.6      3.424913e4     2.919782e-5
   13820.0     3153.6      3.472777e4     2.879540e-5
   13830.0     3163.6      3.521187e4     2.839951e-5
   13840.0     3173.6      3.570155e4     2.800999e-5
   13850.0     3183.6      3.619678e4     2.762677e-5
   13860.0     3193.6      3.669779e4     2.724959e-5
   13870.0     3203.6      3.720464e4     2.687837e-5
   13880.0     3213.6      3.771740e4     2.651296e-5
   13890.0     3223.6      3.823598e4     2.615338e-5
   13900.0     3233.6      3.876045e4     2.579950e-5
   13910.0     3243.6      3.929078e4     2.545126e-5
   13920.0     3253.6      3.982718e4     2.510848e-5
   13930.0     3263.6      4.036970e4     2.477106e-5
   13940.0     3273.6      4.091840e4     2.443889e-5
   13950.0     3283.6      4.147322e4     2.411194e-5
   13960.0     3293.6      4.203425e4     2.379013e-5
   13970.0     3303.6      4.260144e4     2.347338e-5
   13980.0     3313.6      4.317501e4     2.316155e-5
   13990.0     3323.6      4.375501e4     2.285453e-5
   14000.0     3333.6      4.434153e4     2.255222e-5
   14010.0     3343.6      4.493452e4     2.225460e-5
   14020.0     3353.6      4.553407e4     2.196158e-5
   14030.0     3363.6      4.614012e4     2.167311e-5
   14040.0     3373.6      4.675289e4     2.138905e-5
   14050.0     3383.6      4.737244e4     2.110932e-5
   14060.0     3393.6      4.799888e4     2.083382e-5
   14070.0     3403.6      4.863215e4     2.056253e-5
   14080.0     3413.6      4.927232e4     2.029537e-5
   14090.0     3423.6      4.991935e4     2.003231e-5
   14100.0     3433.6      5.057342e4     1.977323e-5
   14110.0     3443.6      5.123461e4     1.951805e-5
   14120.0     3453.6      5.190302e4     1.926670e-5
   14130.0     3463.6      5.257859e4     1.901915e-5
   14140.0     3473.6      5.326141e4     1.877532e-5
   14150.0     3483.6      5.395146e4     1.853518e-5
   14160.0     3493.6      5.464893e4     1.829862e-5
   14170.0     3503.6      5.535389e4     1.806558e-5
   14180.0     3513.6      5.606644e4     1.783598e-5
   14190.0     3523.6      5.678652e4     1.760981e-5
   14200.0     3533.6      5.751427e4     1.738699e-5
   14210.0     3543.6      5.824967e4     1.716748e-5
   14220.0     3553.6      5.899291e4     1.695119e-5
   14230.0     3563.6      5.974403e4     1.673807e-5
   14240.0     3573.6      6.050316e4     1.652806e-5
   14250.0     3583.6      6.127023e4     1.632114e-5
   14260.0     3593.6      6.204535e4     1.611724e-5
   14270.0     3603.6      6.282851e4     1.591634e-5
   14280.0     3613.6      6.361988e4     1.571836e-5
   14290.0     3623.6      6.441953e4     1.552324e-5
   14300.0     3633.6      6.522753e4     1.533095e-5
   14310.0     3643.6      6.604387e4     1.514145e-5
   14320.0     3653.6      6.686866e4     1.495469e-5
   14330.0     3663.6      6.770190e4     1.477063e-5
   14340.0     3673.6      6.854376e4     1.458922e-5
   14350.0     3683.6      6.939431e4     1.441040e-5
   14360.0     3693.6      7.025364e4     1.423414e-5
   14370.0     3703.6      7.112172e4     1.406040e-5
   14380.0     3713.6      7.199869e4     1.388914e-5
   14390.0     3723.6      7.288453e4     1.372033e-5
   14400.0     3733.6      7.377944e4     1.355391e-5
   14410.0     3743.6      7.468345e4     1.338985e-5
   14420.0     3753.6      7.559669e4     1.322809e-5
   14430.0     3763.6      7.651912e4     1.306863e-5
   14440.0     3773.6      7.745085e4     1.291141e-5
   14450.0     3783.6      7.839187e4     1.275642e-5
   14460.0     3793.6      7.934237e4     1.260361e-5
   14470.0     3803.6      8.030241e4     1.245293e-5
   14480.0     3813.6      8.127209e4     1.230435e-5
   14490.0     3823.6      8.225141e4     1.215785e-5
   14500.0     3833.6      8.324046e4     1.201339e-5
   14510.0     3843.6      8.423925e4     1.187095e-5
   14520.0     3853.6      8.524796e4     1.173049e-5
   14530.0     3863.6      8.626667e4     1.159196e-5
   14540.0     3873.6      8.729552e4     1.145534e-5
   14550.0     3883.6      8.833445e4     1.132061e-5
   14560.0     3893.6      8.938361e4     1.118773e-5
   14570.0     3903.6      9.044299e4     1.105669e-5
   14580.0     3913.6      9.151278e4     1.092744e-5
   14590.0     3923.6      9.259307e4     1.079994e-5
   14600.0     3933.6      9.368398e4     1.067418e-5
   14610.0     3943.6      9.478545e4     1.055014e-5
   14620.0     3953.6      9.589761e4     1.042779e-5
   14630.0     3963.6      9.702045e4     1.030711e-5
   14640.0     3973.6      9.815417e4     1.018805e-5
   14650.0     3983.6      9.929888e4     1.007061e-5
   14660.0     3993.6      1.004547e5     9.954739e-6
   14670.0     4003.6      1.016215e5     9.840436e-6
   14680.0     4013.6      1.027995e5     9.727669e-6
   14690.0     4023.6      1.039888e5     9.616424e-6
   14700.0     4033.6      1.051894e5     9.506665e-6
   14710.0     4043.6      1.064014e5     9.398370e-6
   14720.0     4053.6      1.076251e5     9.291511e-6
   14730.0     4063.6      1.088604e5     9.186077e-6
   14740.0     4073.6      1.101074e5     9.082043e-6
   14750.0     4083.6      1.113661e5     8.979395e-6
   14760.0     4093.6      1.126367e5     8.878102e-6
   14770.0     4103.6      1.139193e5     8.778144e-6
   14780.0     4113.6      1.152140e5     8.679499e-6
   14790.0     4123.6      1.165209e5     8.582152e-6
   14800.0     4133.6      1.178400e5     8.486084e-6
   14810.0     4143.6      1.191713e5     8.391280e-6
   14820.0     4153.6      1.205151e5     8.297716e-6
   14830.0     4163.6      1.218714e5     8.205373e-6
   14840.0     4173.6      1.232403e5     8.114227e-6
   14850.0     4183.6      1.246220e5     8.024268e-6
   14860.0     4193.6      1.260164e5     7.935477e-6
   14870.0     4203.6      1.274236e5     7.847841e-6
   14880.0     4213.6      1.288438e5     7.761338e-6
   14890.0     4223.6      1.302770e5     7.675951e-6
   14900.0     4233.6      1.317235e5     7.591658e-6
   14910.0     4243.6      1.331833e5     7.508449e-6
   14920.0     4253.6      1.346564e5     7.426306e-6
   14930.0     4263.6      1.361430e5     7.345220e-6
   14940.0     4273.6      1.376430e5     7.265169e-6
   14950.0     4283.6      1.391568e5     7.186140e-6
   14960.0     4293.6      1.406843e5     7.108113e-6
   14970.0     4303.6      1.422257e5     7.031078e-6
   14980.0     4313.6      1.437810e5     6.955021e-6
   14990.0     4323.6      1.453503e5     6.879932e-6
   15000.0     4333.6      1.469337e5     6.805793e-6
   15010.0     4343.6      1.485313e5     6.732588e-6
   15020.0     4353.6      1.501433e5     6.660304e-6
   15030.0     4363.6      1.517697e5     6.588929e-6
   15040.0     4373.6      1.534107e5     6.518450e-6
   15050.0     4383.6      1.550662e5     6.448858e-6
   15060.0     4393.6      1.567365e5     6.380136e-6
   15070.0     4403.6      1.584216e5     6.312272e-6
   15080.0     4413.6      1.601217e5     6.245252e-6
   15090.0     4423.6      1.618368e5     6.179065e-6
   15100.0     4433.6      1.635671e5     6.113700e-6
   15110.0     4443.6      1.653125e5     6.049148e-6
   15120.0     4453.6      1.670734e5     5.985395e-6
   15130.0     4463.6      1.688496e5     5.922429e-6
   15140.0     4473.6      1.706415e5     5.860238e-6
   15150.0     4483.6      1.724491e5     5.798813e-6
   15160.0     4493.6      1.742724e5     5.738143e-6
   15170.0     4503.6      1.761116e5     5.678219e-6
   15180.0     4513.6      1.779667e5     5.619028e-6
   15190.0     4523.6      1.798380e5     5.560562e-6
   15200.0     4533.6      1.817254e5     5.502807e-6
   15210.0     4543.6      1.836292e5     5.445756e-6
   15220.0     4553.6      1.855495e5     5.389398e-6
   15230.0     4563.6      1.874862e5     5.333726e-6
   15240.0     4573.6      1.894396e5     5.278728e-6
   15250.0     4583.6      1.914097e5     5.224396e-6
   15260.0     4593.6      1.933968e5     5.170717e-6
   15270.0     4603.6      1.954008e5     5.117685e-6
   15280.0     4613.6      1.974220e5     5.065291e-6
   15290.0     4623.6      1.994604e5     5.013526e-6
   15300.0     4633.6      2.015161e5     4.962382e-6
   15310.0     4643.6      2.035893e5     4.911850e-6
   15320.0     4653.6      2.056801e5     4.861920e-6
   15330.0     4663.6      2.077885e5     4.812586e-6
   15340.0     4673.6      2.099147e5     4.763839e-6
   15350.0     4683.6      2.120589e5     4.715672e-6
   15360.0     4693.6      2.142210e5     4.668076e-6
   15370.0     4703.6      2.164013e5     4.621044e-6
   15380.0     4713.6      2.185999e5     4.574567e-6
   15390.0     4723.6      2.208169e5     4.528639e-6
   15400.0     4733.6      2.230524e5     4.483251e-6
   15410.0     4743.6      2.253065e5     4.438399e-6
   15420.0     4753.6      2.275793e5     4.394073e-6
   15430.0     4763.6      2.298710e5     4.350266e-6
   15440.0     4773.6      2.321818e5     4.306970e-6
   15450.0     4783.6      2.345116e5     4.264181e-6
   15460.0     4793.6      2.368607e5     4.221890e-6
   15470.0     4803.6      2.392291e5     4.180093e-6
   15480.0     4813.6      2.416170e5     4.138781e-6
   15490.0     4823.6      2.440245e5     4.097949e-6
   15500.0     4833.6      2.464518e5     4.057589e-6
   15510.0     4843.6      2.488989e5     4.017695e-6
   15520.0     4853.6      2.513660e5     3.978262e-6
   15530.0     4863.6      2.538532e5     3.939285e-6
   15540.0     4873.6      2.563606e5     3.900755e-6
   15550.0     4883.6      2.588884e5     3.862669e-6
   15560.0     4893.6      2.614367e5     3.825018e-6
   15570.0     4903.6      2.640056e5     3.787799e-6
   15580.0     4913.6      2.665952e5     3.751005e-6
   15590.0     4923.6      2.692057e5     3.714631e-6
   15600.0     4933.6      2.718372e5     3.678672e-6
   15610.0     4943.6      2.744899e5     3.643121e-6
   15620.0     4953.6      2.771639e5     3.607974e-6
   15630.0     4963.6      2.798593e5     3.573224e-6
   15640.0     4973.6      2.825763e5     3.538868e-6
   15650.0     4983.6      2.853148e5     3.504900e-6
   15660.0     4993.6      2.880753e5     3.471315e-6
   15670.0     5003.6      2.908576e5     3.438109e-6
   15680.0     5013.6      2.936621e5     3.405275e-6
   15690.0     5023.6      2.964888e5     3.372809e-6
   15700.0     5033.6      2.993378e5     3.340707e-6
   15710.0     5043.6      3.022093e5     3.308965e-6
   15720.0     5053.6      3.051034e5     3.277577e-6
   15730.0     5063.6      3.080203e5     3.246539e-6
   15740.0     5073.6      3.109601e5     3.215847e-6
   15750.0     5083.6      3.139230e5     3.185495e-6
   15760.0     5093.6      3.169091e5     3.155479e-6
   15770.0     5103.6      3.199184e5     3.125797e-6
   15780.0     5113.6      3.229512e5     3.096443e-6
   15790.0     5123.6      3.260076e5     3.067413e-6
   15800.0     5133.6      3.290879e5     3.038702e-6
   15810.0     5143.6      3.321920e5     3.010307e-6
   15820.0     5153.6      3.353202e5     2.982224e-6
   15830.0     5163.6      3.384725e5     2.954450e-6
   15840.0     5173.6      3.416492e5     2.926979e-6
   15850.0     5183.6      3.448503e5     2.899809e-6
